precision:  0.649, recall: 0.474, fbeta:  0.548
precision:  0.735, recall: 0.650, fbeta:  0.690
precision:  0.744, recall: 0.522, fbeta:  0.613
precision:  0.613, recall: 0.286, fbeta:  0.390
precision:  0.757, recall: 0.791, fbeta:  0.774
precision:  0.785, recall: 0.705, fbeta:  0.743
precision:  0.724, recall: 0.698, fbeta:  0.711
precision:  1.000, recall: 1.000, fbeta:  1.000
precision:  1.000, recall: 1.000, fbeta:  1.000
precision:  0.604, recall: 0.185, fbeta:  0.283
precision:  0.730, recall: 0.788, fbeta:  0.758
precision:  0.647, recall: 0.405, fbeta:  0.498
precision:  0.821, recall: 0.825, fbeta:  0.823
precision:  0.688, recall: 0.396, fbeta:  0.503
precision:  0.857, recall: 0.916, fbeta:  0.885
precision:  1.000, recall: 0.000, fbeta:  0.000
precision:  1.000, recall: 0.000, fbeta:  0.000
precision:  0.725, recall: 0.505, fbeta:  0.596
precision:  0.250, recall: 0.021, fbeta:  0.039
precision:  1.000, recall: 0.056, fbeta:  0.105
precision:  0.848, recall: 0.920, fbeta:  0.882
precision:  0.250, recall: 0.095, fbeta:  0.138
precision:  0.333, recall: 0.024, fbeta:  0.045
precision:  1.000, recall: 1.000, fbeta:  1.000
precision:  1.000, recall: 0.000, fbeta:  0.000
precision:  0.733, recall: 0.630, fbeta:  0.677
precision:  0.812, recall: 0.159, fbeta:  0.266
precision:  0.812, recall: 0.157, fbeta:  0.263
precision:  0.600, recall: 0.125, fbeta:  0.207
precision:  0.000, recall: 0.000, fbeta:  0.000
precision:  0.875, recall: 0.156, fbeta:  0.264
precision:  1.000, recall: 0.286, fbeta:  0.444
precision:  0.747, recall: 0.725, fbeta:  0.736
precision:  0.784, recall: 0.810, fbeta:  0.796
precision:  0.551, recall: 0.123, fbeta:  0.201
precision:  0.750, recall: 0.814, fbeta:  0.781
precision:  0.500, recall: 0.038, fbeta:  0.071
precision:  0.673, recall: 0.524, fbeta:  0.589
precision:  0.613, recall: 0.286, fbeta:  0.390
precision:  0.571, recall: 0.087, fbeta:  0.151
precision:  0.603, recall: 0.147, fbeta:  0.236
precision:  0.686, recall: 0.332, fbeta:  0.448
precision:  0.750, recall: 0.158, fbeta:  0.261
precision:  0.357, recall: 0.078, fbeta:  0.128
precision:  0.735, recall: 0.483, fbeta:  0.583
precision:  0.000, recall: 0.000, fbeta:  0.000
precision:  1.000, recall: 1.000, fbeta:  1.000
precision:  0.737, recall: 0.633, fbeta:  0.681
precision:  0.808, recall: 0.165, fbeta:  0.274
precision:  0.286, recall: 0.045, fbeta:  0.078
precision:  0.810, recall: 0.108, fbeta:  0.190
precision:  0.719, recall: 0.618, fbeta:  0.665
precision:  0.385, recall: 0.185, fbeta:  0.250
precision:  0.741, recall: 0.567, fbeta:  0.643
precision:  0.677, recall: 0.392, fbeta:  0.497
precision:  0.712, recall: 0.636, fbeta:  0.672
precision:  0.538, recall: 0.333, fbeta:  0.412
precision:  0.500, recall: 0.440, fbeta:  0.468
precision:  0.736, recall: 0.582, fbeta:  0.650
precision:  0.728, recall: 0.437, fbeta:  0.546
precision:  0.738, recall: 0.559, fbeta:  0.636
precision:  0.818, recall: 0.529, fbeta:  0.643
precision:  0.862, recall: 0.610, fbeta:  0.714
precision:  0.750, recall: 0.522, fbeta:  0.615
precision:  0.714, recall: 0.200, fbeta:  0.312
precision:  0.707, recall: 0.648, fbeta:  0.676
precision:  0.667, recall: 0.545, fbeta:  0.600
precision:  0.467, recall: 0.583, fbeta:  0.519
precision:  0.720, recall: 0.529, fbeta:  0.610
precision:  0.500, recall: 1.000, fbeta:  0.667
precision:  0.500, recall: 0.333, fbeta:  0.400
precision:  0.714, recall: 0.500, fbeta:  0.588
precision:  0.690, recall: 0.741, fbeta:  0.714
precision:  0.333, recall: 0.125, fbeta:  0.182
precision:  1.000, recall: 0.500, fbeta:  0.667
precision:  1.000, recall: 0.000, fbeta:  0.000
precision:  0.727, recall: 0.727, fbeta:  0.727
precision:  0.000, recall: 0.000, fbeta:  0.000
precision:  1.000, recall: 0.500, fbeta:  0.667
precision:  0.889, recall: 0.444, fbeta:  0.593
precision:  0.867, recall: 0.867, fbeta:  0.867
precision:  1.000, recall: 0.400, fbeta:  0.571
precision:  1.000, recall: 0.333, fbeta:  0.500
precision:  0.684, recall: 0.812, fbeta:  0.743
precision:  0.706, recall: 0.800, fbeta:  0.750
precision:  1.000, recall: 0.333, fbeta:  0.500
precision:  1.000, recall: 0.167, fbeta:  0.286
precision:  0.200, recall: 0.167, fbeta:  0.182
precision:  1.000, recall: 0.500, fbeta:  0.667
precision:  1.000, recall: 0.000, fbeta:  0.000
precision:  0.667, recall: 0.833, fbeta:  0.741
precision:  0.600, recall: 0.750, fbeta:  0.667
precision:  0.750, recall: 0.600, fbeta:  0.667
precision:  1.000, recall: 1.000, fbeta:  1.000
precision:  1.000, recall: 1.000, fbeta:  1.000
precision:  0.500, recall: 0.500, fbeta:  0.500
precision:  1.000, recall: 1.000, fbeta:  1.000
precision:  1.000, recall: 0.250, fbeta:  0.400
precision:  0.500, recall: 1.000, fbeta:  0.667
precision:  0.667, recall: 0.400, fbeta:  0.500
precision:  1.000, recall: 0.000, fbeta:  0.000
precision:  1.000, recall: 1.000, fbeta:  1.000
